date,id,habitat,site,video.file,time,species,tl,bite_on,bites
1.12.17,4,Flat,Bird,GP010046,,Ecsenius stictus,3,Turf,18
1.12.17,4,Flat,Bird,GP010046,,Ecsenius stictus,3,Turf,21
1.12.17,4,Flat,Bird,GP020046,0:26:31,Ecsenius stictus,3,Turf,21
1.12.17,4,Flat,Bird,GP020046,,Ecsenius stictus,3,Propagules,6
1.12.17,4,Flat,Bird,GP020046,,Ecsenius stictus,3,Turf,13
1.12.17,4,Flat,Bird,GP020046,,Ecsenius stictus,3,Propagules,17
1.12.17,4,Flat,Bird,GP020046,,Ecsenius stictus,3,Turf,6
1.12.17,4,Flat,Bird,GP030046,0:26:31,Ecsenius stictus,3,Turf,13
1.12.17,4,Flat,Bird,GP030046,,Ecsenius stictus,3,Propagules,5
1.12.17,4,Flat,Bird,GP040162,0:26:31,Ecsenius stictus,3,Turf,12
1.12.17,4,Flat,Bird,GP040162,,Ecsenius stictus,3,Turf,25
1.12.17,4,Flat,Bird,GP040162,,Ecsenius stictus,3,Turf,12
1.12.17,4,Flat,Bird,GP040162,,Ecsenius stictus,3,Propagules,43
1.12.17,4,Flat,Bird,GP040162,,Ecsenius stictus,3,Turf,33
1.12.17,4,Flat,Bird,GP040162,,Ecsenius stictus,3,Propagules,11
1.12.17,4,Flat,Bird,GP050046,0:26:31,Ecsenius stictus,3,Turf,14
1.12.17,4,Flat,Bird,GP050046,,Ecsenius stictus,3,Turf,21
1.12.17,4,Flat,Bird,GP050046,,Ecsenius stictus,3,Propagules,11
1.12.17,4,Flat,Bird,GP050046,,Ecsenius stictus,3,Turf,11
1.12.17,4,Flat,Bird,GP050046,,Ecsenius stictus,3,Turf,20
1.12.17,4,Flat,Bird,GP050046,,Ecsenius stictus,3,Propagules,5
1.12.17,4,Flat,Bird,GP050046,,Ecsenius stictus,3,Turf,47
1.12.17,4,Flat,Bird,GP060046,0:24:44,Ecsenius stictus,3,Turf,21
1.12.17,4,Flat,Bird,GP060046,,Ecsenius stictus,3,Propagules,30
1.12.17,4,Flat,Bird,GP060046,,Ecsenius stictus,3,Turf,17
1.12.17,4,Flat,Bird,GP060046,,Ecsenius stictus,3,Propagules,15
1.12.17,4,Flat,Bird,GP060046,,Ecsenius stictus,3,Turf,18
1.12.17,6,Flat,South,GOPR0197,1:04:34,,,,
1.12.17,6,Flat,South,GO010197,1:04:34,Pomacentrus chrysurus,6,Propagules,1
1.12.17,6,Flat,South,GO010197,,Pomacentrus chrysurus,6,Turf,1
1.12.17,6,Flat,South,GO020197,0:52:00,Pomacentrus chrysurus,6,Turf,1
1.12.17,9,Flat,South,GOPR0001,0:26:14,,,,
1.12.17,9,Flat,South,GP010001,0:26:14,Stegastes apicalis,10,Propagules,1
